_step,epoch,retrieval/i2t_r1,retrieval/t2i_r1,retrieval/i2t_r5,retrieval/t2i_r5,epoch/train_loss,epoch/train_loss_mse,epoch/train_loss_reg_text,run,lam,spherical
39,0,0.25,0.09000000357627869,0.5299999713897705,0.1599999964237213,0.40899828853084685,0.20327276775601028,0.07220331596423282,sweep_gauss_lam20_v3,2.0,False
79,1,0.2750000059604645,0.09799999743700027,0.5149999856948853,0.1720000058412552,0.26304901089124416,0.13791864615027194,0.0485840178949828,sweep_gauss_lam20_v3,2.0,False
119,2,0.25999999046325684,0.09399999678134918,0.5299999713897705,0.16899999976158142,0.23975910572549713,0.1258203584073265,0.044302336751453335,sweep_gauss_lam20_v3,2.0,False
159,3,0.2549999952316284,0.09099999815225601,0.4749999940395355,0.17499999701976776,0.22443324942055934,0.1168698623768806,0.04179878789727436,sweep_gauss_lam20_v3,2.0,False
199,4,0.22499999403953552,0.09300000220537186,0.5049999952316284,0.1809999942779541,0.2125061349766839,0.10961379012769146,0.039880314498521766,sweep_gauss_lam20_v3,2.0,False
239,5,0.23499999940395355,0.09000000357627869,0.4950000047683716,0.17800000309944153,0.20258587260796848,0.10332370423165822,0.038386826087275776,sweep_gauss_lam20_v3,2.0,False
279,6,0.25999999046325684,0.08299999684095383,0.5049999952316284,0.17100000381469727,0.1940870956082376,0.09788794882683283,0.03709034256530278,sweep_gauss_lam20_v3,2.0,False
319,7,0.2199999988079071,0.09099999815225601,0.4699999988079071,0.16699999570846558,0.18680172495227318,0.0929414944707035,0.03610379547138231,sweep_gauss_lam20_v3,2.0,False
39,0,0.2800000011920929,0.11500000208616257,0.6050000190734863,0.20000000298023224,-1.6866324963443902,0.15216486748256441,-3.5375721850916477,sweep_sphere_lam025_v3,0.25,True
79,1,0.3400000035762787,0.12200000137090683,0.6150000095367432,0.19699999690055847,-1.7648020237150157,0.10574090905788917,-3.6329290813747823,sweep_sphere_lam025_v3,0.25,True
119,2,0.3199999928474426,0.12200000137090683,0.6200000047683716,0.1979999989271164,-1.7814756007421584,0.09666147124054672,-3.6575216720852555,sweep_sphere_lam025_v3,0.25,True
159,3,0.36000001430511475,0.11999999731779099,0.6050000190734863,0.19699999690055847,-1.7927284485489299,0.08981467208920903,-3.672179605066013,sweep_sphere_lam025_v3,0.25,True
199,4,0.3149999976158142,0.11800000071525574,0.6000000238418579,0.19599999487400055,-1.8014839374890892,0.08388736735146228,-3.681669541340392,sweep_sphere_lam025_v3,0.25,True
239,5,0.28999999165534973,0.1120000034570694,0.5849999785423279,0.18700000643730164,-1.8088500857719445,0.07861450669883582,-3.688814029044148,sweep_sphere_lam025_v3,0.25,True
279,6,0.32499998807907104,0.1080000028014183,0.5849999785423279,0.19099999964237213,-1.8148188396288807,0.07440992715614488,-3.6950298377445767,sweep_sphere_lam025_v3,0.25,True
319,7,0.3149999976158142,0.11599999666213989,0.6000000238418579,0.19599999487400055,-1.8202284710320582,0.07049135831353973,-3.700403409375329,sweep_sphere_lam025_v3,0.25,True
39,0,0.10999999940395355,0.05400000140070915,0.30000001192092896,0.11599999666213989,0.16831271450335225,0.08521272964714523,0.2696986621540446,sweep_gauss_lam025_v3,0.25,False
79,1,0.12999999523162842,0.06199999898672104,0.3400000035762787,0.13199999928474426,0.11841252539831433,0.06323437594426667,0.19393720752495225,sweep_gauss_lam025_v3,0.25,False
39,0,0.1599999964237213,0.08500000089406967,0.46000000834465027,0.1679999977350235,0.3013036010536059,0.155935201570735,0.1091141328482645,sweep_gauss_lam10_v3,1.0,False
79,1,0.20999999344348907,0.09000000357627869,0.4399999976158142,0.17299999296665192,0.1996621841415038,0.10888537269369859,0.07451780654940157,sweep_gauss_lam10_v3,1.0,False
119,2,0.19499999284744263,0.08699999749660492,0.41499999165534973,0.16200000047683716,0.1808371604351099,0.09874439107695727,0.06770158240154836,sweep_gauss_lam10_v3,1.0,False
159,3,0.2199999988079071,0.07599999755620956,0.4099999964237213,0.164000004529953,0.16824460674708644,0.09105704364276701,0.06374914085619339,sweep_gauss_lam10_v3,1.0,False
199,4,0.20499999821186066,0.07900000363588333,0.41499999165534973,0.16500000655651093,0.15836349560383706,0.08475704345979937,0.060798080761082895,sweep_gauss_lam10_v3,1.0,False
239,5,0.17499999701976776,0.08500000089406967,0.4650000035762787,0.16500000655651093,0.15033097605612483,0.07960658128093404,0.05832252835523942,sweep_gauss_lam10_v3,1.0,False
279,6,0.17499999701976776,0.08100000023841858,0.45500001311302185,0.16599999368190765,0.14325349586045383,0.075208186906802,0.05598616353209911,sweep_gauss_lam10_v3,1.0,False
319,7,0.1599999964237213,0.07400000095367432,0.4300000071525574,0.1599999964237213,0.1372544092669343,0.07140662834807444,0.054042224865263694,sweep_gauss_lam10_v3,1.0,False
39,0,0.49000000953674316,0.14000000059604645,0.7649999856948853,0.20600000023841858,-14.968637742449307,0.3480831138823988,-3.8011986226743755,sweep_sphere_lam20_v3,2.0,True
79,1,0.46000000834465027,0.1420000046491623,0.7749999761581421,0.21199999749660492,-15.15549981575774,0.2137277606994875,-3.8226943076480917,sweep_sphere_lam20_v3,2.0,True
119,2,0.46000000834465027,0.15000000596046448,0.7649999856948853,0.210999995470047,-15.193755863265874,0.18737748938222085,-3.8282030009637413,sweep_sphere_lam20_v3,2.0,True
159,3,0.4449999928474426,0.14499999582767487,0.7599999904632568,0.2150000035762787,-15.21671276903128,0.17202389167781004,-3.831634406853015,sweep_sphere_lam20_v3,2.0,True
199,4,0.41499999165534973,0.1420000046491623,0.7350000143051147,0.21299999952316284,-15.233943954834984,0.16052331202422662,-3.834176068664879,sweep_sphere_lam20_v3,2.0,True
239,5,0.38999998569488525,0.1420000046491623,0.7300000190734863,0.210999995470047,-15.247852001199952,0.1510816083479953,-3.8360961467500716,sweep_sphere_lam20_v3,2.0,True
279,6,0.41999998688697815,0.1379999965429306,0.7300000190734863,0.20800000429153442,-15.259325909602355,0.1431069865906721,-3.837587016518764,sweep_sphere_lam20_v3,2.0,True
319,7,0.4399999976158142,0.1420000046491623,0.699999988079071,0.20800000429153442,-15.268993329098453,0.13655393293696796,-3.8388865106360948,sweep_sphere_lam20_v3,2.0,True
39,0,0.38499999046325684,0.12300000339746475,0.6449999809265137,0.2029999941587448,-3.565401772474913,0.1955176425484499,-3.6818452076352197,sweep_sphere_lam05_v3,0.5,True
79,1,0.3799999952316284,0.12700000405311584,0.6600000262260437,0.20499999821186066,-3.6652379783067834,0.12972948806817203,-3.7333195074606844,sweep_sphere_lam05_v3,0.5,True
119,2,0.36000001430511475,0.125,0.6499999761581421,0.20399999618530273,-3.686099597935303,0.11756049792238889,-3.7473761319381667,sweep_sphere_lam05_v3,0.5,True
159,3,0.36500000953674316,0.13199999928474426,0.6399999856948853,0.20800000429153442,-3.699859140594373,0.10871021490576507,-3.7557923726649753,sweep_sphere_lam05_v3,0.5,True
199,4,0.3149999976158142,0.12099999934434891,0.6200000047683716,0.20600000023841858,-3.7106655776897455,0.1010814944632195,-3.7613807991108894,sweep_sphere_lam05_v3,0.5,True
239,5,0.33000001311302185,0.11900000274181366,0.625,0.20900000631809235,-3.719480921840033,0.09471882848070025,-3.7657721263594466,sweep_sphere_lam05_v3,0.5,True
279,6,0.33500000834465027,0.11400000005960464,0.6200000047683716,0.2070000022649765,-3.7268691196602792,0.0892884542987216,-3.7691637821461197,sweep_sphere_lam05_v3,0.5,True
319,7,0.3050000071525574,0.10899999737739563,0.6299999952316284,0.2029999941587448,-3.7332072684658653,0.08457471390912397,-3.772010332062131,sweep_sphere_lam05_v3,0.5,True
39,0,0.14499999582767487,0.057999998331069946,0.38499999046325684,0.13899999856948853,0.22382591372566593,0.11650324476662502,0.16952415778698887,sweep_gauss_lam05_v3,0.5,False
79,1,0.14499999582767487,0.06300000101327896,0.3799999952316284,0.14000000059604645,0.15383701377605025,0.08433568509103882,0.11923193203307272,sweep_gauss_lam05_v3,0.5,False
119,2,0.14000000059604645,0.06199999898672104,0.3799999952316284,0.1459999978542328,0.13968575177013234,0.07677988975923518,0.10880293164171442,sweep_gauss_lam05_v3,0.5,False
159,3,0.14499999582767487,0.06599999964237213,0.375,0.14000000059604645,0.12966012255433151,0.07106268433095764,0.10155928694379372,sweep_gauss_lam05_v3,0.5,False
199,4,0.17000000178813934,0.05900000035762787,0.36000001430511475,0.1469999998807907,0.1216084726624042,0.06616563254207204,0.09610753432602927,sweep_gauss_lam05_v3,0.5,False
239,5,0.13500000536441803,0.05999999865889549,0.33500000834465027,0.14100000262260437,0.11549106328206922,0.06241016067694195,0.09198751107537313,sweep_gauss_lam05_v3,0.5,False
279,6,0.17000000178813934,0.057999998331069946,0.3400000035762787,0.14000000059604645,0.1099096806486234,0.05892390192329456,0.08827918466548705,sweep_gauss_lam05_v3,0.5,False
